date,St,#,D (m),volume (ml),F1,F2,AVERAGE,Chla(ugL-1)
2023-02-15,MI,1,3,500,33.05,33.01,33.03,0.16
2023-02-15,MI,2,3,500,35.52,35.93,35.725,0.17
2023-02-15,MI,3,3,500,36.47,36.93,36.7,0.17
2023-02-15,MO,1,3,500,34.81,34.96,34.885,0.16
2023-02-15,MO,2,3,500,40.31,40.31,40.31,0.19
2023-02-15,MO,3,3,500,36.35,36.22,36.285,0.17
2023-03-16,MI,1,3,400,161.67,161.46,161.565,0.95
2023-03-16,MI,2,3,400,145.8,145.11,145.455,0.85
2023-03-16,MI,3,3,400,154.09,154.1,154.095,0.91
2023-03-16,MO,1,3,500,144.38,145.39,144.885,0.68
2023-03-16,MO,2,3,500,146.35,145.11,145.73,0.68
2023-03-16,MO,3,3,500,154.67,156.11,155.39,0.73
2023-03-29,MI,1,3,500,275.59,273.74,274.665,1.29
2023-03-29,MI,2,3,500,194.45,194.21,194.33,0.91
2023-03-29,MI,3,3,500,197.06,195.65,196.355,0.92
2023-03-29,MO,1,3,500,215.21,218.61,216.91,1.03
2023-03-29,MO,2,3,500,183.27,182.86,183.065,0.86
2023-03-29,MO,3,3,500,252.84,253.68,253.26,1.19
2023-04-18,MI,1,3,250,237.06,235.76,236.41,2.22
2023-04-18,MI,2,3,250,214.92,214.29,214.605,2.01
2023-04-18,MI,3,3,250,227.73,227.04,227.385,2.13
2023-04-18,MO,1,3,250,256.1,259.01,257.555,2.43
2023-04-18,MO,2,3,250,262.93,263.37,263.15,2.48
2023-04-18,MO,3,3,250,248.4,246.18,247.29,2.31
2023-04-25,MI,1,3,500,502.23,499.67,500.95,2.35
2023-04-25,MI,2,3,500,507.69,504.46,506.075,2.37
2023-04-25,MI,3,3,500,494.3,493.25,493.775,2.32
2023-04-25,MO,1,3,500,532.24,533.51,532.875,2.51
2023-04-25,MO,2,3,500,550.22,548.7,549.46,2.58
2023-04-25,MO,3,3,500,534.14,533.3,533.72,2.51
2023-05-10,MI,1,3,1000,1863.43,1870.62,1867.025,4.4
2023-05-10,MI,2,3,1000,1890.39,1901.13,1895.76,4.47
2023-05-10,MI,3,3,1000,1866.48,1860.67,1863.575,4.37
2023-05-10,MO,1,3,500,1203.66,1201.28,1202.47,5.65
2023-05-10,MO,2,3,500,1054.77,1063.33,1059.05,5
2023-05-10,MO,3,3,500,1127.95,1127.43,1127.69,5.3
2023-05-23,MI,1,3,500,701.99,705.84,703.915,3.32
2023-05-23,MI,2,3,500,740.4,737.45,738.925,3.47
2023-05-23,MI,3,3,500,755.08,746.32,750.7,3.51
2023-05-23,MO,1,3,500,715.71,716.16,715.935,3.37
2023-05-23,MO,2,3,500,757.12,756.38,756.75,3.55
2023-05-23,MO,3,3,500,729.86,729.1,729.48,3.43
2023-06-07,MI,1,3,500,1861.53,1842.07,1851.8,8.66
2023-06-07,MI,2,3,500,1321.56,1316.9,1319.23,6.19
2023-06-07,MI,3,3,500,1749.45,1757.1,1753.275,8.26
2023-06-07,MO,1,3,500,1272.67,1266.67,1269.67,5.95
2023-06-07,MO,2,3,500,1246.29,1249.27,1247.78,5.87
2023-06-07,MO,3,3,500,1274.85,1279.15,1277,6.01
2023-06-29,MI,1,3,500,319.99,317.79,318.89,1.49
2023-06-29,MI,2,3,500,322.84,320.19,321.515,1.5
2023-06-29,MI,3,3,500,300.99,300.2,300.595,1.41
2023-06-29,MO,1,3,500,405.75,407.38,406.565,1.91
2023-06-29,MO,2,3,500,394.85,394.12,394.485,1.85
2023-06-29,MO,3,3,500,384.58,385.94,385.26,1.81
