Station,Date,Salinity,Temperature,Chlorophyll_a,Turbidity,Density,Pressure
MI,2023-02-15,33.69,6.436,0,0.01,26.467,0.74
MI,2023-02-15,33.66,6.416,0,0.01,26.443,1.24
MI,2023-02-15,33.65,6.413,0,0.01,26.438,1.54
MI,2023-02-15,33.65,6.412,0,0.01,26.441,1.9
MI,2023-02-15,33.64,6.412,0,0.01,26.434,2.3
MI,2023-02-15,33.64,6.416,0,0.01,26.44,2.52
MI,2023-02-15,33.63,6.417,0,0.01,26.432,3.03
MI,2023-02-15,33.61,6.411,0,0.01,26.421,3.32
MI,2023-02-15,33.65,6.412,0,0.01,26.449,3.91
MI,2023-02-15,33.63,6.416,0,0.01,26.438,4.21
MI,2023-02-15,33.64,6.42,0,0.01,26.445,4.68
MI,2023-02-15,33.65,6.424,0,0.01,26.452,5.03
MI,2023-02-15,33.65,6.434,0,0.01,26.453,5.35
MI,2023-02-15,33.66,6.441,0,0.01,26.466,5.85
MI,2023-02-15,33.65,6.448,0,0.01,26.461,6.13
MI,2023-02-15,33.66,6.444,0,0.01,26.467,6.69
MI,2023-02-15,33.65,6.472,0,0.01,26.46,7.01
MI,2023-02-15,33.65,6.494,0,0.01,26.46,7.46
MI,2023-02-15,33.65,6.515,0,0.01,26.46,7.8
MI,2023-02-15,33.65,6.529,0,0.01,26.457,8.19
MI,2023-02-15,33.66,6.538,0,0.01,26.468,8.54
MI,2023-02-15,33.69,6.543,0,0.01,26.492,8.91
MI,2023-02-15,33.69,6.548,0,0.01,26.489,9.4
MI,2023-02-15,33.68,6.578,0,0.01,26.481,9.82
MI,2023-02-15,33.69,6.614,0,0.01,26.485,10.28
MI,2023-02-15,33.72,6.654,0,0.01,26.502,10.55
MI,2023-02-15,33.78,6.694,0,0.01,26.547,11.2
MI,2023-02-15,33.78,6.72,0,0.01,26.551,11.42
MI,2023-02-15,33.81,6.729,0,0.01,26.567,11.1
MI,2023-02-15,33.74,6.706,0,0.01,26.517,10.74
MI,2023-02-15,33.8,6.724,0,0.01,26.562,10.82
MI,2023-02-15,33.8,6.723,0,0.01,26.562,10.76
MI,2023-02-15,33.79,6.724,0,0.01,26.552,10.62
MI,2023-02-15,33.79,6.715,0,0.01,26.552,10.58
MI,2023-02-15,33.79,6.721,0,0.01,26.556,10.86
MI,2023-02-15,33.79,6.731,0,0.01,26.558,11.42
MI,2023-02-15,33.81,6.741,0,0.01,26.569,11.96
MI,2023-02-15,33.85,6.746,0,0.01,26.599,12.12
MI,2023-02-15,33.85,6.745,0,0.01,26.598,11.67
MI,2023-02-15,33.8,6.74,0,0.01,26.559,11.5
MI,2023-02-15,33.79,6.734,0,0.01,26.554,11.05
MI,2023-02-15,33.78,6.732,0,0.01,26.546,10.91
MI,2023-02-15,33.78,6.73,0,0.01,26.547,10.67
MI,2023-02-15,33.79,6.707,0,0.01,26.549,10.34
MI,2023-02-15,33.79,6.703,0,0.01,26.552,10.1
MI,2023-02-15,33.72,6.662,0,0.01,26.501,9.88
MI,2023-02-15,33.73,6.632,0,0.01,26.51,9.57
MI,2023-02-15,33.69,6.62,0,0.01,26.485,9.48
MI,2023-02-15,33.69,6.6,0,0.01,26.484,9.08
MI,2023-02-15,33.71,6.58,0,0.01,26.501,8.8
